hostId,time,CPUUtilization
39,110.10064632748355,"[20, 20, 20, 20, 20, 11, 20, 20, 20, 11, 20, 20, 20, 20, 20, 20]"
19,110.10426982874506,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
24,110.12520148544911,"[20, 11, 20, 11, 20, 20, 11, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
57,110.12536467867847,"[20, 0, 20, 20, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20, 20, 20]"
54,110.13150156345843,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,110.15744758148662,"[20, 11, 20, 20, 20, 11, 11, 20, 11, 20, 20, 20, 20, 20, 20, 20]"
78,110.1649051805571,"[20, 20, 11, 20, 20, 11, 11, 17, 17, 17, 20, 20, 17, 17, 20, 20]"
36,110.16558203083956,"[20, 11, 20, 11, 20, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,110.17575909397289,"[20, 11, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,110.17609544142393,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,110.17705035706484,"[0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,110.17762263514922,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,110.17916415190143,"[20, 17, 20, 20, 20, 20, 11, 20, 11, 11, 11, 11, 17, 17, 17, 17]"
60,110.18068091885465,"[11, 20, 20, 11, 11, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
3,110.19148682162906,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,110.19702340657992,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,110.19991484885423,"[11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0]"
38,110.20514231335592,"[20, 11, 11, 20, 20, 11, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]"
68,110.20901592913022,"[17, 11, 20, 11, 20, 20, 11, 20, 20, 11, 11, 20, 17, 17, 17, 17]"
5,110.21988409620829,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,110.21995923314304,"[20, 11, 20, 20, 20, 20, 11, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
11,110.22655171286098,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,110.24044808741584,"[17, 20, 11, 20, 11, 11, 20, 20, 20, 20, 11, 17, 17, 17, 17, 17]"
2,110.24765210607296,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,110.25680412041653,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,110.27519565300085,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,110.28794769121058,"[20, 11, 11, 20, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,110.2910820250591,"[20, 20, 20, 20, 20, 11, 11, 20, 17, 17, 17, 17, 17, 17, 17, 17]"
46,110.2921673311991,"[20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,110.29472153013178,"[20, 20, 11, 20, 11, 20, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,110.29545368398546,"[11, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,110.29645602921843,"[20, 11, 11, 11, 20, 11, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
31,110.29849996787708,"[20, 11, 20, 20, 11, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,110.30067376541452,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,110.30100226237566,"[20, 20, 11, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,110.30541954759708,"[20, 11, 20, 11, 20, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
7,110.32755355013117,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,110.32815337110287,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,110.34841439893788,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
